planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
WASP-4b;12181.08; eclipse;2454697.798;4.80E-05;1.33823187;2.50E-07;55527.6823;36.02;1.16E-04;621
HD209458b;12181.26; transit;2451490.765;2.00E-02;3.52474859;3.80E-07;56195.57757;22.317;1.44E-04;1335
HD189733b;12181.18; transit;2453955.526;9.00E-06;2.2185752;8.00E-08;55814.01923;4.167;3.02E-05;838
GJ1214b;12251.02; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;55648.61307;5.971;5.89E-05;423
GJ1214b;12251.01; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;55478.16962;5.971;4.39E-05;315
GJ1214b;12251.03; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;55765.55599;5.971;6.92E-05;497
WASP-12b;12230.02; transit;2455147.458;1.30E-04;1.09142119;2.10E-07;55663.03226;7.624;9.10E-05;473
WASP-12b;12230.03; eclipse;2455147.458;1.30E-04;1.09142119;2.10E-07;55666.82524;7.624;9.16E-05;476
HAT-P-11b;12449.01; transit;2454957.813;2.80E-05;4.88781501;6.80E-07;56218.21397;44.357;3.59E-05;258
HAT-P-11b;12449.02; partial transit;2454957.813;2.80E-05;4.88781501;6.80E-07;56276.84224;44.357;3.76E-05;270
WASP-33b;12495.02; eclipse;2455507.522;3.00E-04;1.2198675;1.10E-06;56306.45515;51.703;5.91E-04;655
WASP-33b;12495.01; eclipse;2455507.522;3.00E-04;1.2198675;1.10E-06;56256.40546;51.703;5.54E-04;614
WASP-31b;12473.08; transit;2455192.689;3.00E-04;3.4059096;5.00E-06;56060.53492;134.354;3.74E-04;255
HAT-P-1b;12473.16; transit;2453979.932;2.40E-04;4.4652934;9.30E-06;56113.63689;46.696;9.95E-04;478
Kepler-9b;12482.01; transit;2454977.493;6.85E-02;19.24628649;7.64E-05;56093.07389;73.743;2.30E-04;58
Kepler-9b;12482.03; transit;2454977.493;6.85E-02;19.24628649;7.64E-05;56150.72983;73.743;2.42E-04;61
Kepler-9c;12482.02; transit;2454968.896;2.06E-01;38.94980851;2.29E-04;56097.72813;73.743;1.71E-04;29
